0
able
about
annoyed
backyard
baseball
board
boring
brave
breath
chapter
clean
coming
computer
contents
count
cut
cutting
deep
difficult
dinner
dropped
either
elephant
ever
explore
false
fighting
finished
forest
greatest
hadn't
halfway
happily
helpful
hidden
homework
hopefully
however
hungry
instead
john
join
joined
kitchen
knife
laughed
living
loudly
minute
monkey
monster
muddy
needed
parents
patting
pleased
pointed
putting
questions
serious
shouted
sighed
stopped
strong
swimming
third
touch
treasure
unless
upstairs
waited
watched
we've
whispered
